iShares Semiconductor ETF
Fund Holdings as of,"Jul 29, 2026"
Inception Date,"Jul 10, 2001"
Shares Outstanding,"88,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"NVDA","NVIDIA CORP","Information Technology","Equity","3,714,975,194.72","8.93","3,714,975,194.72","19,551,472.00","190.01","United States","NASDAQ","USD","1.00","USD","-"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","3,435,911,692.12","8.26","3,435,911,692.12","7,998,677.00","429.56","United States","NASDAQ","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","3,421,689,772.08","8.22","3,421,689,772.08","9,239,819.00","370.32","United States","NASDAQ","USD","1.00","USD","-"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","3,141,761,691.00","7.55","3,141,761,691.00","4,251,369.00","739.00","United States","NASDAQ","USD","1.00","USD","-"
"INTC","INTEL CORPORATION","Information Technology","Equity","2,132,020,343.64","5.12","2,132,020,343.64","26,038,353.00","81.88","United States","NASDAQ","USD","1.00","USD","-"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","2,001,672,304.10","4.81","2,001,672,304.10","4,586,258.00","436.45","United States","NASDAQ","USD","1.00","USD","-"
"TSM","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","1,921,152,271.95","4.62","1,921,152,271.95","5,127,585.00","374.67","Taiwan","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","1,831,923,407.00","4.40","1,831,923,407.00","6,752,390.00","271.30","United States","NASDAQ","USD","1.00","USD","-"
"KLAC","KLA CORP","Information Technology","Equity","1,827,945,607.23","4.39","1,827,945,607.23","10,740,617.00","170.19","United States","NASDAQ","USD","1.00","USD","-"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","1,762,471,038.96","4.24","1,762,471,038.96","4,987,608.00","353.37","United States","NASDAQ","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY INC","Information Technology","Equity","1,645,240,939.60","3.95","1,645,240,939.60","10,068,794.00","163.40","United States","NASDAQ","USD","1.00","USD","-"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","1,637,016,404.45","3.93","1,637,016,404.45","6,487,087.00","252.35","United States","NASDAQ","USD","1.00","USD","-"
"NXPI","NXP SEMICONDUCTORS NV","Information Technology","Equity","1,547,811,166.28","3.72","1,547,811,166.28","6,422,986.00","240.98","United States","NASDAQ","USD","1.00","USD","-"
"MPWR","MONOLITHIC POWER SYSTEMS INC","Information Technology","Equity","1,519,421,237.44","3.65","1,519,421,237.44","1,216,744.00","1,248.76","United States","NASDAQ","USD","1.00","USD","-"
"QCOM","QUALCOMM INC","Information Technology","Equity","1,280,110,091.68","3.08","1,280,110,091.68","8,222,701.00","155.68","United States","NASDAQ","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","1,275,837,249.96","3.07","1,275,837,249.96","3,994,356.00","319.41","United States","NASDAQ","USD","1.00","USD","-"
"ASML","ASML HOLDING ADR REPRESENTING NV","Information Technology","Equity","1,031,506,582.48","2.48","1,031,506,582.48","665,192.00","1,550.69","Netherlands","NASDAQ","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","974,103,936.39","2.34","974,103,936.39","13,648,647.00","71.37","United States","NASDAQ","USD","1.00","USD","-"
"ALAB","ASTERA LABS INC","Information Technology","Equity","897,508,869.02","2.16","897,508,869.02","3,593,773.00","249.74","United States","NASDAQ","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","789,010,545.16","1.90","789,010,545.16","10,005,206.00","78.86","United States","NASDAQ","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","753,772,110.00","1.81","753,772,110.00","4,247,800.00","177.45","United States","NASDAQ","USD","1.00","USD","-"
"ASX","ASE TECHNOLOGY HOLDING ADR REP","Information Technology","Equity","481,779,736.48","1.16","481,779,736.48","15,481,354.00","31.12","Taiwan","NYSE","USD","1.00","USD","-"
"ENTG","ENTEGRIS INC","Information Technology","Equity","416,556,221.85","1.00","416,556,221.85","3,892,685.00","107.01","United States","NASDAQ","USD","1.00","USD","-"
"MTSI","MACOM TECHNOLOGY SOLUTIONS INC","Information Technology","Equity","405,291,044.54","0.97","405,291,044.54","1,772,074.00","228.71","United States","NASDAQ","USD","1.00","USD","-"
"UMC","UNITED MICROELECTRONICS ADR REP","Information Technology","Equity","367,225,633.52","0.88","367,225,633.52","21,462,632.00","17.11","Taiwan","NYSE","USD","1.00","USD","-"
"NVMI","NOVA LTD","Information Technology","Equity","299,171,075.80","0.72","299,171,075.80","815,380.00","366.91","Israel","NASDAQ","USD","1.00","USD","-"
"STM","STMICROELECTRONICS ADR NV","Information Technology","Equity","292,735,943.76","0.70","292,735,943.76","6,053,266.00","48.36","France","NYSE","USD","1.00","USD","-"
"ARM","ARM HOLDINGS AMERICAN DEPOSITARY S","Information Technology","Equity","287,992,109.99","0.69","287,992,109.99","1,280,591.00","224.89","United Kingdom","NASDAQ","USD","1.00","USD","-"
"SWKS","SKYWORKS SOLUTIONS INC","Information Technology","Equity","235,416,348.19","0.57","235,416,348.19","3,847,301.00","61.19","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","228,213,677.51","0.55","228,213,677.51","2,755,871.00","82.81","United States","NASDAQ","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","49,933,738.68","0.12","49,933,738.68","49,933,739.00","1.00","United States","-","USD","1.00","USD","-"
"WFFUT","CASH COLLATERAL USD WFFUT","Cash and/or Derivatives","Cash Collateral and Margins","4,383,000.00","0.01","4,383,000.00","4,383,000.00","100.00","United States","-","USD","1.00","USD","Aug 23, 2017"
"USD","USD CASH","Cash and/or Derivatives","Cash","2,089,747.42","0.01","2,089,747.42","2,089,747.00","100.00","United States","-","USD","1.00","USD","-"
"IXTU6","EMINI TECHNOLOGY SELECT SECTOR SEP","Cash and/or Derivatives","Futures","0.00","0.00","53,958,400.00","160.00","3,372.40","-","Chicago Mercantile Exchange","USD","1.00","USD","-"
